product_name;order_date;quantity;sales;region;profit;discount
Sugar Excepturi;22/04/2024;5;337675.25;West;80309.87;10
Puzzle Ipsa;07/04/2025;5;337581.75;West;66149.91;5
Biography Quibusdam;10/06/2025;5;337454.25;South;69191.11;15
Face Cream Quaerat;19/01/2025;5;336766.5;North;17376.34;0
Lamp Perspiciatis;03/04/2024;5;336306.75;West;41387.57;10
Textbook Soluta;18/11/2024;5;335573.25;West;18606.62;5
Camera Et;23/12/2024;5;335565;East;56792.28;0
Laptop Commodi;08/06/2025;5;335135;East;54837.31;10
Men's Wear Voluptatibus;02/12/2023;5;334979.5;South;44339.83;5
Tennis Racket Laboriosam;07/04/2024;5;334107;East;27522.2;20
Board Game Eos;01/01/2024;5;333738;North;74227.75;15
Foundation Necessitatibus;10/05/2025;5;333535.5;West;29686.68;15
Sofa Tempora;30/12/2024;5;333200;North;72215.26;20
Microwave Porro;29/09/2025;5;331497.75;West;46854.82;10
Tennis Racket Praesentium;09/08/2024;5;330457.5;North;16717.94;10
Laptop Error;24/05/2024;5;329773.5;South;71073.74;20
Wall Art A;22/04/2024;5;328101.5;West;47968.41;15
Mixer Grinder Doloribus;05/09/2025;5;327955.5;West;45670.48;10
Accessories Nulla;17/11/2023;5;327690;South;25776.29;5
Wall Art Cum;09/12/2024;5;327640.5;South;54717.2;0
Board Game Consectetur;17/07/2024;5;327536.25;East;66432.74;10
Headphones Illo;21/09/2025;5;327411;West;50382.9;20
Tennis Racket Sed;30/04/2025;5;327339;East;24202.61;5
Cookware Set Eos;22/11/2024;5;325953;East;21190.7;0
Perfume Maxime;12/02/2025;5;325580;West;68224.67;0
Puzzle Illo;06/07/2024;5;325316.25;North;41394.12;5
Fiction Quod;18/07/2025;5;324950;South;37182.7;5
Vase Laboriosam;21/10/2024;5;324859.5;West;53183.45;15
Women's Wear Hic;24/09/2025;5;324670.25;East;54862.51;0
Camera Optio;20/07/2025;5;323478;North;42505.17;15
Lipstick Fuga;24/10/2024;5;323365.75;East;56820.68;5
Oil Vel;01/10/2025;5;322014;South;19695.76;5
Textbook Numquam;27/11/2024;5;321593.25;East;40730.55;20
Face Cream Tempora;11/04/2024;5;321151.25;West;40472.69;0
Cookware Set Ipsa;06/09/2024;5;321113;East;46952.81;15
Face Cream Porro;07/01/2024;5;320819.75;West;24580.16;0
Men's Wear Repellat;09/01/2025;5;320431.5;South;33894.31;0
Shoes Vero;21/12/2024;5;320278.25;North;58964.24;10
Comics Nemo;25/11/2024;5;319210;South;71769.95;10
Yoga Mat Optio;12/02/2024;5;319065;East;36797.04;10
Football A;21/03/2025;4;318848;East;36875.17;20
Perfume Voluptates;28/06/2024;5;318546;West;72829.75;15
Textbook Placeat;19/11/2024;5;318150;North;61460.96;15
Lipstick Accusamus;09/12/2024;5;317555;West;75212.33;20
Puzzle Autem;31/10/2024;5;317488.5;South;40720.64;5
Lipstick Tenetur;24/02/2024;4;317352;South;24679.03;10
Face Cream In;24/05/2025;4;316504;North;60652.87;10
Men's Wear Incidunt;01/10/2024;5;316493.25;West;60045.23;10
Microwave Animi;24/10/2023;5;316141;North;21382.75;10
Oil Accusamus;22/05/2024;5;315968;North;58414.79;20
Smartwatch Rem;28/07/2025;5;315925;South;77192.1;20
Fiction Doloremque;26/05/2024;4;315732;South;42110.49;0
Lamp Veritatis;13/09/2024;5;315335;South;16130.55;15
Puzzle Deserunt;27/08/2025;5;315064;West;44013.36;20
Perfume Ducimus;01/04/2025;4;314584;East;25851.76;10
RC Car Omnis;14/01/2024;4;314356;East;31464.36;5
Men's Wear Voluptatibus;29/04/2024;5;314068.5;West;73960.76;20
Non-Fiction Quis;18/05/2024;5;314008.25;South;48260.38;15
Textbook Dolore;12/01/2025;4;313508;South;31018.89;5
Accessories Facilis;23/08/2025;5;313452;South;17200.72;0
Headphones Reiciendis;29/09/2025;5;313015.5;North;46083.59;20
Puzzle Perspiciatis;13/06/2024;4;312964;North;26867.45;20
Lamp Voluptatibus;10/04/2024;5;312912;North;52683.49;15
Camera Inventore;10/11/2024;5;312692.5;East;35825.33;15
Cookware Set Voluptates;08/11/2023;5;312445.5;North;68446.84;10
Biography Optio;28/06/2024;5;312051.25;West;52303.46;0
Cushion Quos;24/11/2024;5;311932;North;44766;10
Cabinet Asperiores;24/03/2025;5;311815;South;67265.59;15
Refrigerator Aliquid;28/05/2024;5;311746;South;42399.24;5
Vase Ea;15/03/2024;5;311690.25;East;67820.74;20
Vase Rerum;22/11/2024;5;311533.5;East;49260.51;15
Non-Fiction Totam;14/11/2024;5;311152.5;North;61304.08;15
RC Car Quia;10/05/2025;4;311072;South;54804.85;5
Foundation Eius;08/07/2025;4;310972;West;46204.22;5
Accessories Ipsa;20/02/2024;5;310615.5;East;40730.6;5
Tennis Racket Modi;19/08/2024;5;310512;West;69855.18;0
Textbook Omnis;12/10/2024;5;310113.25;East;55673.58;5
Microwave Eius;13/02/2025;5;309854.75;East;59977.25;5
Smartwatch Inventore;29/12/2023;5;309745;South;31990.52;10
Foundation Quisquam;03/08/2025;5;309657.25;North;52875.95;0
Fiction Id;12/01/2025;5;308860;East;29593.58;5
Lipstick Maiores;07/06/2025;5;308624;South;23072.14;0
Vase Eveniet;28/04/2024;5;307933.75;East;29043.49;5
Bed Autem;17/01/2024;5;307660;South;17078.5;15
Board Game Consequuntur;18/09/2024;5;307128;West;47122.1;15
Cushion Aliquam;07/03/2025;5;306948;North;64842.86;20
Rice Quas;28/06/2025;4;306908;East;43168.59;5
Oil Natus;17/04/2024;5;306705;West;54809.56;10
Sofa Atque;23/10/2024;5;306571.5;North;51208.5;5
Non-Fiction In;12/04/2024;5;305031;South;42045.35;10
Doll Incidunt;21/03/2025;4;304932;North;36668.09;0
Sofa Repudiandae;14/08/2025;5;304904;West;22939.07;5
Lamp Soluta;30/07/2024;5;304275.5;North;73168.8;5
Action Figure Accusantium;22/03/2024;5;303615.75;West;70173.14;5
Lipstick Numquam;26/10/2024;5;303544;East;53880.28;15
Men's Wear Saepe;11/10/2023;5;302904;North;32229.38;0
Microwave Provident;11/01/2024;5;302863.5;East;39925.81;0
Lamp Enim;21/07/2024;5;302315;West;32487.86;10
Cabinet Aliquam;11/07/2024;5;302160;West;19963.71;0
Action Figure Amet;22/05/2025;4;301772;East;15437.13;20
Laptop Similique;29/05/2025;5;301432;East;68696.01;0
Wall Art Explicabo;16/07/2024;4;300772;South;16853.48;15
Clock Enim;10/01/2024;5;300757.5;North;47167.33;5
Football Modi;29/11/2023;5;300618;West;62609.44;5
Accessories Minima;31/08/2024;5;300262.5;West;15684.81;15
Accessories Sequi;15/06/2024;5;300105.25;West;63166.95;10
Smartwatch Eum;18/06/2025;5;299960.75;South;30248.57;0
Oil Dolorum;14/02/2024;4;299796;North;35714.75;10
Bed Tenetur;20/01/2025;4;299560;East;30319.01;0
Fiction Totam;23/04/2025;4;299220;North;15617.58;15
Men's Wear Maxime;21/12/2024;4;299164;South;34058.98;0
Lamp Similique;28/07/2024;5;299116;East;25440.68;10
Mobile Aspernatur;15/01/2025;4;298588.8;East;66122.26;20
Dumbbells Exercitationem;13/02/2024;5;298219.5;North;52820.32;15
Lipstick Alias;11/06/2025;4;297496;North;46932.25;0
Vase Quisquam;13/02/2025;4;296867.4;West;35529.65;10
Rice Nam;29/10/2024;5;296664;East;54818.48;20
Bed Tenetur;25/10/2023;5;296105.5;West;54528.52;0
Tennis Racket Molestiae;30/08/2025;5;295950;South;41811.64;20
Perfume Neque;09/10/2024;4;295896;South;36664.27;0
Rice Ullam;18/07/2024;5;295357.5;East;58308.1;0
Fiction Hic;06/01/2024;5;295264.5;East;33425.13;10
Lamp Recusandae;16/09/2025;4;295222;South;39391.98;0
Accessories Corporis;21/07/2025;5;295200;North;63951.15;5
Sofa Necessitatibus;02/01/2025;4;294756;South;24646.64;15
Vase Labore;22/08/2024;5;294333.75;South;42326.5;0
Chair Officia;08/03/2024;5;294129.75;North;44408.76;10
Smartwatch Consequatur;26/06/2024;4;294008;East;18131.14;20
Spices Dolores;29/12/2023;5;293845;East;26123.24;15
Spices Maxime;11/11/2024;5;293628;East;53157.05;10
Juicer Quas;11/11/2023;5;293572;South;37544.54;20
Women's Wear Eaque;29/06/2025;4;293219.4;West;68138.69;5
Action Figure Mollitia;15/10/2023;5;292970.5;North;65354.37;15
Lipstick Accusamus;09/06/2025;4;292848;West;43805.32;0
Men's Wear Repudiandae;27/09/2024;5;292837.5;West;19061.01;10
Table Atque;19/10/2023;5;292723.5;West;71120.16;5
Oil Illum;03/09/2025;5;292616;West;39500.59;10
Bed Occaecati;29/12/2024;5;292460;North;24552.77;20
Accessories Assumenda;13/01/2025;5;292357.5;West;71420.71;15
Cricket Bat Voluptatum;11/12/2023;4;291243.4;East;40522.22;20
Rice Culpa;22/02/2024;5;291137.75;North;35054.49;5
Sugar Rerum;14/11/2024;4;290984;West;61010.16;10
Wheat Nulla;17/03/2024;5;290885;East;63620.24;5
Microwave Ipsum;15/01/2024;4;290836;West;32501.93;10
Accessories Eaque;14/03/2024;4;290548;West;37770.26;10
Non-Fiction Reprehenderit;14/03/2024;5;289980;West;60817.43;5
Sofa Repellat;08/10/2023;5;289868.75;West;29163.34;0
Smartwatch Placeat;18/02/2024;5;289804.5;East;38368.67;5
Men's Wear Aliquid;21/05/2024;5;289565;West;61458.27;5
Sofa Ea;16/09/2024;5;289180;South;45698.23;10
Textbook Animi;01/02/2025;5;289044;West;51823.53;10
Non-Fiction Ipsum;07/01/2024;5;288955;South;40433.92;5
Fiction Reprehenderit;10/08/2024;4;288921.6;South;14845.82;0
Puzzle Temporibus;09/02/2024;5;288913.5;South;30405.59;15
Shoes Est;25/04/2025;5;288900;East;67695.04;15
Chair Explicabo;17/07/2025;4;288895;North;16878.74;20
Mixer Grinder Placeat;14/05/2024;5;288705;North;70358.14;10
Wheat Voluptate;23/03/2025;5;288632;South;67741.6;15
Table Quam;08/03/2025;5;288341.25;West;38370.6;15
Doll Ab;23/09/2024;4;288203.4;South;38958.84;15
Mobile Deleniti;20/10/2023;5;287952;West;45956.11;5
Refrigerator Maiores;14/11/2023;4;287884.2;West;27464.79;15
Tennis Racket Sapiente;03/09/2025;5;287432;West;41217.09;0
Shoes Odio;31/08/2024;4;287004;West;23632.48;0
Dumbbells Repellendus;18/07/2025;4;285753.6;North;63249.01;10
Sugar Provident;10/05/2024;4;285570;North;24832.66;10
RC Car Sequi;04/09/2024;4;285316;South;44267.62;10
Shampoo Enim;02/10/2025;5;284796;West;34565.09;20
Sugar Vitae;19/11/2023;5;283855.25;East;64522.53;20
Comics Earum;06/09/2025;5;283801.5;North;48806.87;20
Accessories Pariatur;02/12/2023;5;283532.25;South;43006.04;20
Kids Wear Accusamus;31/07/2024;5;283394.5;East;63463.71;5
Chair At;30/01/2025;5;283352;East;59929.82;15
Yoga Mat Facilis;20/10/2024;4;283214;West;66074.46;20
Wheat Nemo;28/08/2024;5;283122.25;South;28551.53;0
Sofa Iure;11/10/2023;5;282896;South;34980.08;15
Wall Art Amet;27/05/2025;4;282877.2;East;41965.03;20
Wall Art Saepe;14/05/2024;5;282750;South;58546.01;10
Chair Voluptate;14/06/2024;4;282450.2;East;39218.71;15
Wall Art Quia;04/03/2025;5;282378;South;67947.89;0
Camera Voluptate;03/03/2025;5;282260;East;32676.94;20
Perfume Dolor;07/07/2024;5;282118.5;South;17582.89;0
Yoga Mat Dolore;03/05/2025;5;281836;West;40119.35;15
Wheat Suscipit;29/12/2024;5;281396;South;35694.42;15
RC Car Iure;18/03/2025;4;281188.6;South;55793.97;10
Football In;05/11/2024;4;280922.6;East;67840.71;15
Headphones Laudantium;15/03/2024;4;280820;East;59885;15
Kids Wear Culpa;23/05/2025;4;280728.8;East;64667.96;15
Lipstick Totam;16/06/2025;4;280516;West;25372.1;5
Kids Wear Error;02/08/2024;5;280297.5;North;33128.62;5
Face Cream Repellendus;09/08/2024;5;280138.5;South;64872.65;0
Cookware Set Blanditiis;06/12/2024;4;279892.8;West;17589.47;10
Rice Error;26/11/2023;5;279550;East;29798.57;10
Cricket Bat Asperiores;21/03/2025;5;279513.75;North;53166.56;5
Lipstick Eligendi;20/07/2024;4;279183.6;West;37205.72;20
Comics Atque;08/06/2024;4;279064;North;36617.59;10
Yoga Mat Voluptatem;31/05/2025;5;278914.5;North;30971.48;5
Comics Facilis;12/05/2025;5;278617.5;South;23888.73;5
Vase Odit;17/08/2025;5;278510;South;37498.64;0
Sofa Vitae;25/04/2024;5;278347.5;East;45876.9;10
Lamp Magni;27/02/2025;5;278332.5;North;25278.29;10
Football Distinctio;13/04/2024;4;278247.6;South;27845.6;20
Mobile Maxime;26/03/2024;4;277952;East;62478.5;10
Lamp Veritatis;03/05/2024;5;277794;East;35313.13;20
Doll Sint;19/08/2025;5;277552;East;24830.38;5
Face Cream Quisquam;25/08/2025;5;277129.25;North;19592.83;10
Smartwatch Quia;14/10/2023;5;277087.5;South;65900.41;20
Football Tempora;14/09/2024;5;276288.5;South;50119.67;20
Perfume Qui;08/01/2025;4;276267.6;East;35015.76;0
Foundation Sed;07/09/2025;4;276184.8;East;32995.21;10
Bed A;02/08/2024;5;276088.5;East;68739.3;15
Sofa Dolore;10/06/2024;5;275872;South;58633.92;15
Women's Wear Incidunt;15/02/2024;4;275852;East;30755.32;10
Cookware Set Libero;04/03/2025;4;275673.6;South;39540.52;20
Cricket Bat Eius;17/08/2024;5;275228;North;64282.84;5
Clock Recusandae;16/03/2025;5;275152;West;59336.8;5
Shampoo Dignissimos;18/04/2025;4;275084;South;17206.97;5
Women's Wear Quidem;18/04/2024;4;274876.8;East;25096.29;10
Wheat Molestias;02/10/2024;5;274864;East;25784.16;15
Action Figure Ipsum;11/05/2024;4;274838.4;East;62452.3;10
Doll Ex;13/12/2024;5;274725;East;67363.85;5
Spices Provident;06/09/2025;5;274590;South;67381.45;10
Action Figure Nulla;20/12/2024;5;274576.5;South;40569.94;0
Clock Et;16/09/2024;4;274276.4;West;58464.48;10
Comics Nulla;16/12/2024;5;274244;North;40371.89;5
Refrigerator A;15/06/2024;4;274100.4;East;39517.42;5
Textbook Iusto;05/03/2025;5;273844;North;47657.53;10
Wall Art Numquam;06/02/2024;4;273413.8;West;57713.74;20
Doll Laborum;01/07/2025;5;273405.25;South;26969.18;15
Wheat Quod;29/08/2024;4;272955.6;South;60121.92;20
Sofa Animi;16/03/2024;5;272830;West;49265.05;0
Spices Quibusdam;01/08/2025;4;272724;South;47541.58;5
Action Figure Molestias;03/12/2024;5;272612;North;18472.82;5
Smartwatch Error;27/05/2025;5;272340;South;36096.65;0
Non-Fiction Molestiae;20/04/2024;4;271944;East;23716.74;5
Fiction Voluptas;06/10/2024;4;271760.4;North;27433.78;15
Smartwatch Tenetur;05/12/2024;4;271624;South;59618;5
Vase Minima;11/02/2024;5;271426.5;North;29407.84;5
Women's Wear Sequi;04/12/2023;5;271354.5;West;29546.39;0
Mobile Asperiores;21/02/2025;4;271340;East;43514.49;5
Laptop Voluptatum;04/07/2025;5;271068.25;North;23095.88;20
Cushion Quasi;21/08/2025;4;270461.2;West;51178.34;10
Fiction Nemo;26/11/2023;5;270185;South;58810.96;0
Table Magni;28/06/2025;4;270172.4;North;55080.3;15
Doll Odio;31/10/2023;4;269914;East;65933.8;10
Wheat Blanditiis;01/04/2025;4;269504;North;15498.78;10
Headphones Aperiam;06/03/2024;4;269413.2;South;47063.23;0
Mobile Nesciunt;15/05/2025;5;268650;North;37731.64;5
Action Figure Cum;27/12/2023;4;268348.4;South;50743.1;5
Table Pariatur;30/06/2025;5;268276;East;46456.92;20
Face Cream Iure;30/06/2025;4;268264.8;East;57443.39;0
Tennis Racket Nobis;03/09/2024;4;268260;North;17206.02;0
RC Car Dolores;08/06/2025;5;268128;North;23650.99;10
Lamp Perspiciatis;27/02/2025;5;267615;East;65872.81;15
Headphones Voluptates;14/10/2024;4;267210;South;19685;10
Face Cream Voluptatum;15/06/2025;5;267065.75;West;14465.93;5
Shampoo Molestias;07/08/2025;5;267053;West;64508.18;10
Men's Wear Quasi;15/05/2025;4;267014.6;North;32751.6;0
Non-Fiction Nihil;26/09/2024;4;266937.4;North;50474.22;15
Mobile At;05/05/2025;4;266912;West;63455.49;15
Cabinet Nostrum;19/04/2025;5;266808;West;57998.38;15
Fiction Quos;20/08/2024;5;266460.75;West;29233.39;0
Refrigerator Maiores;25/02/2024;5;266460;East;22429.77;20
Oil Iusto;02/10/2024;5;265780;East;45958.29;5
Doll Quasi;01/06/2025;4;265761;East;39305.02;0
Smartwatch Sit;02/04/2025;4;265707.4;South;26037.95;20
Clock Minima;22/02/2024;5;265684;North;33071.17;0
Accessories Perspiciatis;03/06/2024;4;265568;South;59731.79;10
Oil Velit;17/08/2025;5;265016;West;56861.84;0
Biography Distinctio;18/11/2024;4;264862.8;South;41051.44;10
Football Ducimus;11/04/2024;4;264762;North;36604.12;10
Microwave Fugiat;11/10/2024;5;264575.25;South;18454.31;15
Cushion Quae;30/05/2024;4;264204;West;20530.46;0
Fiction Laborum;04/01/2024;4;263836.8;South;56203.35;5
Comics Esse;08/10/2023;5;263736;South;28829.07;15
Tennis Racket Ipsam;02/03/2025;4;263574.8;East;59364.54;15
Men's Wear Praesentium;17/11/2023;5;263434.5;West;53823.6;0
Shampoo Commodi;15/06/2024;5;263075;East;30507.31;5
Men's Wear Et;14/07/2024;5;262896;East;21487.22;15
Non-Fiction Quae;18/12/2024;4;262879.2;East;36854.33;20
RC Car Cum;18/04/2025;5;262844;East;44974.32;20
Puzzle Corrupti;11/03/2025;4;262636;West;33936.98;5
Board Game Autem;09/10/2023;4;262557.2;South;26050.67;5
Clock Eaque;18/02/2024;5;262545;West;52053.33;15
Cabinet Aliquid;09/08/2025;4;262295;East;43946.95;5
Doll Ipsam;04/03/2025;5;262288.75;South;53719.58;15
RC Car Nihil;20/12/2024;5;262271.25;East;60529.81;10
Spices Cumque;02/11/2024;4;262238.4;East;28564.38;20
Lipstick Laborum;09/12/2024;4;261928;North;55149.77;0
Kids Wear Reprehenderit;15/05/2024;5;261839;West;41134.24;20
RC Car Optio;19/12/2024;4;261032.4;South;59195.25;20
Mixer Grinder Nobis;04/05/2025;4;260978.4;West;56512.09;5
Bed Dolore;15/01/2025;5;260495.25;North;29361.36;20
Bed Consectetur;29/11/2023;4;260488;North;20230.01;10
Wall Art Tenetur;29/12/2023;5;260200;South;18189.62;20
Accessories Maiores;16/07/2025;5;259735.5;South;53930;0
Cabinet Earum;25/10/2024;5;259628;East;28981.01;10
Fiction Quis;06/05/2024;4;259617.2;East;46078.9;10
Tennis Racket Fugit;18/11/2023;5;259488;West;23297.72;15
Table Iusto;17/04/2024;4;259477.2;West;34177.07;5
Accessories Voluptatum;12/11/2023;4;259436;West;19911.6;5
Sofa Odit;20/05/2025;4;259178.4;South;51430.67;0
Perfume Repudiandae;27/01/2024;4;259035.8;North;13021.68;15
Laptop Voluptatem;29/12/2024;4;258648;West;33868.65;0
Juicer Molestiae;29/11/2024;5;258475;East;33531.33;5
Puzzle Nesciunt;14/03/2024;5;258344.75;North;33333.56;15
Clock Quasi;01/07/2025;4;257918.4;East;63122.97;15
Juicer Nobis;23/10/2023;4;257886.6;West;55318.94;20
Foundation Officia;16/10/2023;4;257712;West;26012.11;0
Headphones Accusantium;22/10/2024;5;257524.5;North;18555.34;20
Juicer Itaque;19/11/2024;5;257363;South;20849.71;10
Accessories Velit;14/11/2024;4;257161.2;East;13974.84;5
Bed Quaerat;10/03/2024;4;257014.8;West;38065.55;20
Oil Magni;28/10/2023;4;256435.4;South;48469.58;0
Rice Incidunt;23/10/2024;5;256420;South;61655.17;0
Lamp Molestiae;13/06/2024;4;256405;East;59425.58;10
Cookware Set Dolore;29/05/2024;5;255806.5;West;27845.18;5
Puzzle Repellendus;24/08/2025;4;255584.2;North;24050.17;20
Lamp Exercitationem;11/09/2024;4;255371.4;North;24419.38;5
RC Car Inventore;19/12/2024;5;255316.5;North;54733.9;5
Laptop Voluptatibus;15/11/2023;4;255308.8;East;42298.42;5
Face Cream Maxime;20/10/2024;4;255173.8;North;16707.86;0
Cricket Bat Ullam;24/07/2024;5;254940;North;62980.23;20
Dumbbells Sapiente;29/09/2024;4;254800;South;19752.17;20
RC Car Quis;24/05/2025;4;254768.4;West;19022.63;15
Wall Art Eveniet;09/03/2025;4;254641.8;South;54231.05;10
Action Figure Totam;09/07/2024;5;254635;North;53139.54;15
Spices Dicta;21/11/2023;4;254444.2;East;37018.36;15
Clock Porro;22/11/2023;4;254435.6;East;61038.1;15
Face Cream Ad;27/05/2025;5;254196;South;13759.33;0
Women's Wear Illum;23/04/2025;4;254068.4;East;14388.64;15
Refrigerator Quae;16/07/2025;5;253875;South;22939.3;5
Smartwatch Dolorum;28/05/2025;5;253750.5;East;33269.7;20
Refrigerator Perferendis;22/06/2024;4;253748;South;16868.36;15
Spices Non;23/06/2025;4;253683.2;West;28531.58;5
Textbook Debitis;17/05/2024;4;253627.2;East;43553.38;15
RC Car Eum;10/02/2024;5;253352;South;41372.55;15
Non-Fiction Occaecati;01/05/2025;5;252937.5;East;61936.61;10
Shampoo Voluptate;08/02/2025;5;252908;South;19686.13;10
Refrigerator Explicabo;07/06/2024;4;252531.6;South;62582.91;10
Cushion Beatae;18/06/2024;5;252518;South;30404.67;5
Men's Wear Odit;06/09/2024;4;252507.8;West;47461.3;20
Vase Laudantium;16/08/2024;5;252495;West;36136.83;0
Wall Art Excepturi;05/12/2023;4;251704;East;40267.43;20
Rice Ullam;21/03/2024;5;251605;North;15427.5;15
Cushion Laborum;18/12/2024;4;251334.8;West;25825.56;5
Headphones Officia;18/04/2025;4;250984.8;South;36369.51;5
Women's Wear Deserunt;22/12/2024;4;250950.4;East;35255.58;5
Cabinet Deleniti;31/10/2023;4;250918.4;South;33576.83;5
Shoes Aliquid;18/01/2025;4;250899.6;North;61074.47;5
Cricket Bat Aliquid;18/11/2024;4;250819;South;31432.54;20
Sofa Ipsum;30/08/2024;4;250801;South;52016.65;15
Textbook Distinctio;19/07/2024;5;250709.75;East;43391.7;10
Sofa Maxime;22/07/2025;5;250629;North;43785.18;5
Action Figure Magni;22/05/2025;4;250192.8;North;57427.33;20
Mobile Nulla;19/07/2024;5;250101;South;15998.66;10
Puzzle Ut;16/10/2024;4;249808.2;North;56964.33;5
Spices Ea;22/08/2024;4;249716.4;South;53198.93;5
Smartwatch Quibusdam;27/06/2024;5;249644;West;38502.6;10
Lipstick At;17/02/2025;5;249403.5;South;15673.19;5
Laptop Similique;09/04/2025;4;249346.8;South;39813.41;0
Textbook Non;19/06/2024;5;249152;East;34717.96;10
Sofa Dignissimos;04/11/2024;5;248989.5;West;16310.2;15
Doll Soluta;14/12/2024;5;248967;East;60565.21;5
Bed Commodi;18/04/2025;5;248410.75;West;59977.87;5
Face Cream Quod;12/11/2024;4;248409.8;East;48897.74;15
Board Game Earum;01/09/2025;5;248260;East;29959.35;10
Fiction Incidunt;15/01/2025;4;248205.6;West;33922.43;20
Puzzle Placeat;14/12/2023;4;247761.4;West;50948.61;20
Refrigerator Architecto;03/11/2024;4;247732;East;41385.71;20
Vase Iure;24/03/2025;4;247505.4;East;19976.23;10
Sofa Non;18/11/2023;4;247178.6;North;44888.67;0
Puzzle Ut;18/06/2025;5;246876;North;36877.13;10
Headphones Deserunt;03/07/2025;5;246648.75;North;36963.76;10
Bed Alias;23/11/2023;4;246460.4;West;59284.02;10
Tennis Racket Consequatur;24/07/2024;5;246267;South;39194.91;0
Football Ullam;02/04/2025;4;246092.8;South;35906.45;5
Men's Wear Illum;29/08/2024;5;245956.5;West;60078.61;20
Kids Wear Incidunt;08/10/2024;4;245780.2;East;47534.13;15
Sofa Omnis;06/05/2025;4;245651;South;51927.61;20
Wheat Tempora;12/05/2025;4;245318.4;West;25463.47;20
